day;month;year;countriesAndTerritories;cases;deaths
9;4;2020;Afghanistan;56;3
8;4;2020;Afghanistan;30;4
7;4;2020;Afghanistan;38;0
6;4;2020;Afghanistan;29;2
5;4;2020;Afghanistan;35;1
4;4;2020;Afghanistan;0;0
3;4;2020;Afghanistan;43;0
2;4;2020;Afghanistan;26;0
1;4;2020;Afghanistan;25;0
31;3;2020;Afghanistan;27;0
30;3;2020;Afghanistan;8;1
29;3;2020;Afghanistan;15;1
28;3;2020;Afghanistan;16;1
27;3;2020;Afghanistan;0;0
26;3;2020;Afghanistan;33;0
25;3;2020;Afghanistan;2;0
24;3;2020;Afghanistan;6;1
23;3;2020;Afghanistan;10;0
22;3;2020;Afghanistan;0;0
21;3;2020;Afghanistan;2;0
20;3;2020;Afghanistan;0;0
19;3;2020;Afghanistan;0;0
18;3;2020;Afghanistan;1;0
17;3;2020;Afghanistan;5;0
16;3;2020;Afghanistan;6;0
15;3;2020;Afghanistan;3;0
11;3;2020;Afghanistan;3;0
8;3;2020;Afghanistan;3;0
2;3;2020;Afghanistan;0;0
1;3;2020;Afghanistan;0;0
29;2;2020;Afghanistan;0;0
28;2;2020;Afghanistan;0;0
27;2;2020;Afghanistan;0;0
26;2;2020;Afghanistan;0;0
25;2;2020;Afghanistan;1;0
24;2;2020;Afghanistan;0;0
23;2;2020;Afghanistan;0;0
22;2;2020;Afghanistan;0;0
21;2;2020;Afghanistan;0;0
20;2;2020;Afghanistan;0;0
19;2;2020;Afghanistan;0;0
18;2;2020;Afghanistan;0;0
17;2;2020;Afghanistan;0;0
16;2;2020;Afghanistan;0;0
15;2;2020;Afghanistan;0;0
14;2;2020;Afghanistan;0;0
13;2;2020;Afghanistan;0;0
12;2;2020;Afghanistan;0;0
11;2;2020;Afghanistan;0;0
10;2;2020;Afghanistan;0;0
9;2;2020;Afghanistan;0;0
8;2;2020;Afghanistan;0;0
7;2;2020;Afghanistan;0;0
6;2;2020;Afghanistan;0;0
5;2;2020;Afghanistan;0;0
4;2;2020;Afghanistan;0;0
3;2;2020;Afghanistan;0;0
2;2;2020;Afghanistan;0;0
1;2;2020;Afghanistan;0;0
31;1;2020;Afghanistan;0;0
30;1;2020;Afghanistan;0;0
29;1;2020;Afghanistan;0;0
28;1;2020;Afghanistan;0;0
27;1;2020;Afghanistan;0;0
26;1;2020;Afghanistan;0;0
25;1;2020;Afghanistan;0;0
24;1;2020;Afghanistan;0;0
23;1;2020;Afghanistan;0;0
22;1;2020;Afghanistan;0;0
21;1;2020;Afghanistan;0;0
20;1;2020;Afghanistan;0;0
19;1;2020;Afghanistan;0;0
18;1;2020;Afghanistan;0;0
17;1;2020;Afghanistan;0;0
16;1;2020;Afghanistan;0;0
15;1;2020;Afghanistan;0;0
14;1;2020;Afghanistan;0;0
13;1;2020;Afghanistan;0;0
12;1;2020;Afghanistan;0;0
11;1;2020;Afghanistan;0;0
10;1;2020;Afghanistan;0;0
9;1;2020;Afghanistan;0;0
8;1;2020;Afghanistan;0;0
7;1;2020;Afghanistan;0;0
6;1;2020;Afghanistan;0;0
5;1;2020;Afghanistan;0;0
4;1;2020;Afghanistan;0;0
3;1;2020;Afghanistan;0;0
2;1;2020;Afghanistan;0;0
1;1;2020;Afghanistan;0;0
31;12;2019;Afghanistan;0;0
9;4;2020;Albania;17;0
8;4;2020;Albania;6;0
7;4;2020;Albania;16;1
6;4;2020;Albania;28;2
5;4;2020;Albania;29;2
4;4;2020;Albania;27;1
3;4;2020;Albania;18;1
2;4;2020;Albania;16;0
1;4;2020;Albania;20;3
31;3;2020;Albania;11;2
30;3;2020;Albania;15;0
29;3;2020;Albania;11;1
28;3;2020;Albania;12;3
27;3;2020;Albania;28;1
26;3;2020;Albania;23;0
25;3;2020;Albania;23;1
24;3;2020;Albania;11;2
23;3;2020;Albania;13;0
22;3;2020;Albania;6;0
21;3;2020;Albania;0;0
20;3;2020;Albania;11;0
19;3;2020;Albania;4;1
18;3;2020;Albania;4;0
17;3;2020;Albania;9;0
16;3;2020;Albania;4;0
15;3;2020;Albania;5;0
14;3;2020;Albania;10;0
13;3;2020;Albania;12;0
12;3;2020;Albania;1;1
11;3;2020;Albania;4;0
10;3;2020;Albania;4;0
9;3;2020;Albania;2;0
9;4;2020;Andorra;19;1
8;4;2020;Andorra;19;1
7;4;2020;Andorra;25;3
6;4;2020;Andorra;35;1
9;4;2020;Algeria;104;11
8;4;2020;Algeria;45;21
7;4;2020;Algeria;103;21
6;4;2020;Algeria;20;22
5;4;2020;Algeria;314;47
4;4;2020;Algeria;139;25
3;4;2020;Algeria;0;0
2;4;2020;Algeria;263;23
1;4;2020;Algeria;73;4
31;3;2020;Algeria;57;2
30;3;2020;Algeria;45;3
29;3;2020;Algeria;104;5
28;3;2020;Algeria;0;0
27;3;2020;Algeria;41;4
26;3;2020;Algeria;33;0
25;3;2020;Algeria;42;0
24;3;2020;Algeria;87;2
23;3;2020;Algeria;8;5
22;3;2020;Algeria;0;0
21;3;2020;Algeria;12;3
20;3;2020;Algeria;9;1
19;3;2020;Algeria;13;1
18;3;2020;Algeria;0;1
17;3;2020;Algeria;12;0
16;3;2020;Algeria;11;2
15;3;2020;Algeria;11;0
14;3;2020;Algeria;2;1
13;3;2020;Algeria;4;1
12;3;2020;Algeria;0;0
9;3;2020;Algeria;3;0
6;3;2020;Algeria;5;0
5;3;2020;Algeria;7;0
4;3;2020;Algeria;2;0
2;3;2020;Algeria;2;0
1;3;2020;Algeria;0;0
29;2;2020;Algeria;0;0
28;2;2020;Algeria;0;0
27;2;2020;Algeria;0;0
26;2;2020;Algeria;1;0
25;2;2020;Algeria;0;0
24;2;2020;Algeria;0;0
23;2;2020;Algeria;0;0
22;2;2020;Algeria;0;0
21;2;2020;Algeria;0;0
20;2;2020;Algeria;0;0
19;2;2020;Algeria;0;0
18;2;2020;Algeria;0;0
17;2;2020;Algeria;0;0
16;2;2020;Algeria;0;0
15;2;2020;Algeria;0;0
14;2;2020;Algeria;0;0
13;2;2020;Algeria;0;0
12;2;2020;Algeria;0;0
11;2;2020;Algeria;0;0
10;2;2020;Algeria;0;0
9;2;2020;Algeria;0;0
8;2;2020;Algeria;0;0
7;2;2020;Algeria;0;0
6;2;2020;Algeria;0;0
5;2;2020;Algeria;0;0
4;2;2020;Algeria;0;0
3;2;2020;Algeria;0;0
2;2;2020;Algeria;0;0
1;2;2020;Algeria;0;0
31;1;2020;Algeria;0;0
30;1;2020;Algeria;0;0
29;1;2020;Algeria;0;0
28;1;2020;Algeria;0;0
27;1;2020;Algeria;0;0
26;1;2020;Algeria;0;0
25;1;2020;Algeria;0;0
24;1;2020;Algeria;0;0
23;1;2020;Algeria;0;0
22;1;2020;Algeria;0;0
21;1;2020;Algeria;0;0
20;1;2020;Algeria;0;0
19;1;2020;Algeria;0;0
18;1;2020;Algeria;0;0
17;1;2020;Algeria;0;0
16;1;2020;Algeria;0;0
15;1;2020;Algeria;0;0
14;1;2020;Algeria;0;0
13;1;2020;Algeria;0;0
12;1;2020;Algeria;0;0
11;1;2020;Algeria;0;0
10;1;2020;Algeria;0;0
9;1;2020;Algeria;0;0
8;1;2020;Algeria;0;0
7;1;2020;Algeria;0;0
6;1;2020;Algeria;0;0
5;1;2020;Algeria;0;0
4;1;2020;Algeria;0;0
3;1;2020;Algeria;0;0
2;1;2020;Algeria;0;0
1;1;2020;Algeria;0;0
31;12;2019;Algeria;0;0
5;4;2020;Andorra;27;1
4;4;2020;Andorra;11;1
3;4;2020;Andorra;38;1
2;4;2020;Andorra;14;2
1;4;2020;Andorra;6;4
31;3;2020;Andorra;36;2
30;3;2020;Andorra;26;2
29;3;2020;Andorra;41;1
28;3;2020;Andorra;43;0
27;3;2020;Andorra;36;3
26;3;2020;Andorra;24;0
25;3;2020;Andorra;31;0
24;3;2020;Andorra;20;0
23;3;2020;Andorra;25;0
22;3;2020;Andorra;13;0
21;3;2020;Andorra;0;0
20;3;2020;Andorra;22;0
19;3;2020;Andorra;39;0
18;3;2020;Andorra;0;0
17;3;2020;Andorra;9;0
16;3;2020;Andorra;3;0
14;3;2020;Andorra;1;0
3;3;2020;Andorra;1;0
9;4;2020;Angola;2;0
8;4;2020;Angola;1;0
7;4;2020;Angola;2;0
6;4;2020;Angola;4;0
5;4;2020;Angola;2;0
4;4;2020;Angola;0;0
3;4;2020;Angola;0;0
2;4;2020;Angola;1;0
1;4;2020;Angola;0;0
31;3;2020;Angola;0;0
30;3;2020;Angola;3;2
29;3;2020;Angola;0;0
28;3;2020;Angola;1;0
27;3;2020;Angola;1;0
26;3;2020;Angola;0;0
25;3;2020;Angola;0;0
24;3;2020;Angola;0;0
23;3;2020;Angola;0;0
22;3;2020;Angola;2;0
9;4;2020;Anguilla;0;0
8;4;2020;Anguilla;0;0
7;4;2020;Anguilla;0;0
6;4;2020;Anguilla;0;0
5;4;2020;Anguilla;0;0
4;4;2020;Anguilla;0;0
3;4;2020;Anguilla;1;0
2;4;2020;Anguilla;0;0
1;4;2020;Anguilla;0;0
31;3;2020;Anguilla;0;0
30;3;2020;Anguilla;0;0
29;3;2020;Anguilla;0;0
28;3;2020;Anguilla;0;0
27;3;2020;Anguilla;2;0
9;4;2020;Antigua_and_Barbuda;0;0
8;4;2020;Antigua_and_Barbuda;0;0
7;4;2020;Antigua_and_Barbuda;0;0
6;4;2020;Antigua_and_Barbuda;0;0
5;4;2020;Antigua_and_Barbuda;0;0
4;4;2020;Antigua_and_Barbuda;6;0
3;4;2020;Antigua_and_Barbuda;2;0
2;4;2020;Antigua_and_Barbuda;0;0
1;4;2020;Antigua_and_Barbuda;0;0
31;3;2020;Antigua_and_Barbuda;0;0
30;3;2020;Antigua_and_Barbuda;0;0
29;3;2020;Antigua_and_Barbuda;0;0
28;3;2020;Antigua_and_Barbuda;0;0
27;3;2020;Antigua_and_Barbuda;4;0
26;3;2020;Antigua_and_Barbuda;0;0
25;3;2020;Antigua_and_Barbuda;2;0
24;3;2020;Antigua_and_Barbuda;0;0
23;3;2020;Antigua_and_Barbuda;0;0
22;3;2020;Antigua_and_Barbuda;0;0
21;3;2020;Antigua_and_Barbuda;0;0
15;3;2020;Antigua_and_Barbuda;1;0
9;4;2020;Argentina;80;5
8;4;2020;Argentina;87;7
7;4;2020;Argentina;74;7
6;4;2020;Argentina;103;3
5;4;2020;Argentina;186;6
4;4;2020;Argentina;132;3
3;4;2020;Argentina;0;3
2;4;2020;Argentina;167;7
1;4;2020;Argentina;0;0
31;3;2020;Argentina;146;4
30;3;2020;Argentina;75;1
29;3;2020;Argentina;55;2
28;3;2020;Argentina;101;5
27;3;2020;Argentina;87;4
26;3;2020;Argentina;115;2
25;3;2020;Argentina;86;2
24;3;2020;Argentina;35;0
23;3;2020;Argentina;41;0
22;3;2020;Argentina;67;1
21;3;2020;Argentina;30;0
20;3;2020;Argentina;31;1
19;3;2020;Argentina;18;0
18;3;2020;Argentina;14;0
17;3;2020;Argentina;9;0
16;3;2020;Argentina;11;0
15;3;2020;Argentina;11;0
14;3;2020;Argentina;3;1
13;3;2020;Argentina;12;0
11;3;2020;Argentina;7;0
9;3;2020;Argentina;3;0
8;3;2020;Argentina;1;1
7;3;2020;Argentina;6;0
6;3;2020;Argentina;1;0
4;3;2020;Argentina;1;0
9;4;2020;Armenia;28;1
8;4;2020;Armenia;20;0
7;4;2020;Armenia;11;1
6;4;2020;Armenia;52;0
5;4;2020;Armenia;34;0
4;4;2020;Armenia;73;3
3;4;2020;Armenia;92;1
2;4;2020;Armenia;39;0
1;4;2020;Armenia;50;0
31;3;2020;Armenia;58;0
30;3;2020;Armenia;0;0
29;3;2020;Armenia;52;2
28;3;2020;Armenia;43;0
27;3;2020;Armenia;39;1
26;3;2020;Armenia;25;0
25;3;2020;Armenia;71;0
24;3;2020;Armenia;4;0
23;3;2020;Armenia;30;0
22;3;2020;Armenia;24;0
21;3;2020;Armenia;14;0
20;3;2020;Armenia;7;0
19;3;2020;Armenia;37;0
18;3;2020;Armenia;26;0
17;3;2020;Armenia;22;0
16;3;2020;Armenia;10;0
15;3;2020;Armenia;7;0
14;3;2020;Armenia;7;0
13;3;2020;Armenia;2;0
12;3;2020;Armenia;3;0
2;3;2020;Armenia;0;0
1;3;2020;Armenia;1;0
29;2;2020;Armenia;0;0
28;2;2020;Armenia;0;0
27;2;2020;Armenia;0;0
26;2;2020;Armenia;0;0
25;2;2020;Armenia;0;0
24;2;2020;Armenia;0;0
23;2;2020;Armenia;0;0
22;2;2020;Armenia;0;0
21;2;2020;Armenia;0;0
20;2;2020;Armenia;0;0
19;2;2020;Armenia;0;0
18;2;2020;Armenia;0;0
17;2;2020;Armenia;0;0
16;2;2020;Armenia;0;0
15;2;2020;Armenia;0;0
14;2;2020;Armenia;0;0
13;2;2020;Armenia;0;0
12;2;2020;Armenia;0;0
11;2;2020;Armenia;0;0
10;2;2020;Armenia;0;0
9;2;2020;Armenia;0;0
8;2;2020;Armenia;0;0
7;2;2020;Armenia;0;0
6;2;2020;Armenia;0;0
5;2;2020;Armenia;0;0
4;2;2020;Armenia;0;0
3;2;2020;Armenia;0;0
2;2;2020;Armenia;0;0
1;2;2020;Armenia;0;0
31;1;2020;Armenia;0;0
30;1;2020;Armenia;0;0
29;1;2020;Armenia;0;0
28;1;2020;Armenia;0;0
27;1;2020;Armenia;0;0
26;1;2020;Armenia;0;0
25;1;2020;Armenia;0;0
24;1;2020;Armenia;0;0
23;1;2020;Armenia;0;0
22;1;2020;Armenia;0;0
21;1;2020;Armenia;0;0
20;1;2020;Armenia;0;0
19;1;2020;Armenia;0;0
18;1;2020;Armenia;0;0
17;1;2020;Armenia;0;0
16;1;2020;Armenia;0;0
15;1;2020;Armenia;0;0
14;1;2020;Armenia;0;0
13;1;2020;Armenia;0;0
12;1;2020;Armenia;0;0
11;1;2020;Armenia;0;0
10;1;2020;Armenia;0;0
9;1;2020;Armenia;0;0
8;1;2020;Armenia;0;0
7;1;2020;Armenia;0;0
6;1;2020;Armenia;0;0
5;1;2020;Armenia;0;0
4;1;2020;Armenia;0;0
3;1;2020;Armenia;0;0
2;1;2020;Armenia;0;0
1;1;2020;Armenia;0;0
31;12;2019;Armenia;0;0
9;4;2020;Aruba;3;0
8;4;2020;Aruba;3;0
7;4;2020;Aruba;7;0
6;4;2020;Aruba;0;0
5;4;2020;Aruba;2;0
4;4;2020;Aruba;2;0
3;4;2020;Aruba;5;0
2;4;2020;Aruba;0;0
1;4;2020;Aruba;5;0
30;3;2020;Aruba;22;0
29;3;2020;Aruba;0;0
28;3;2020;Aruba;0;0
27;3;2020;Aruba;9;0
26;3;2020;Aruba;2;0
25;3;2020;Aruba;5;0
24;3;2020;Aruba;8;0
20;3;2020;Aruba;2;0
13;3;2020;Aruba;2;0
9;4;2020;Australia;96;5
8;4;2020;Australia;112;3
7;4;2020;Australia;100;6
6;4;2020;Australia;57;2
5;4;2020;Australia;139;4
4;4;2020;Australia;324;7
3;4;2020;Australia;248;2
2;4;2020;Australia;269;1
1;4;2020;Australia;150;1
31;3;2020;Australia;464;3
30;3;2020;Australia;284;2
29;3;2020;Australia;431;1
28;3;2020;Australia;212;0
27;3;2020;Australia;367;2
26;3;2020;Australia;376;3
25;3;2020;Australia;600;1
24;3;2020;Australia;114;0
23;3;2020;Australia;611;0
22;3;2020;Australia;224;0
21;3;2020;Australia;165;1
20;3;2020;Australia;144;0
19;3;2020;Australia;111;1
18;3;2020;Australia;79;0
17;3;2020;Australia;77;0
16;3;2020;Australia;49;2
15;3;2020;Australia;52;0
14;3;2020;Australia;41;0
13;3;2020;Australia;30;0
12;3;2020;Australia;14;0
11;3;2020;Australia;12;0
10;3;2020;Australia;20;0
9;3;2020;Australia;6;0
8;3;2020;Australia;11;1
7;3;2020;Australia;4;0
6;3;2020;Australia;7;0
5;3;2020;Australia;11;1
4;3;2020;Australia;8;0
3;3;2020;Australia;4;0
2;3;2020;Australia;3;0
1;3;2020;Australia;1;1
29;2;2020;Australia;2;0
28;2;2020;Australia;0;0
27;2;2020;Australia;1;0
26;2;2020;Australia;0;0
25;2;2020;Australia;0;0
24;2;2020;Australia;0;0
23;2;2020;Australia;1;0
22;2;2020;Australia;4;0
21;2;2020;Australia;2;0
20;2;2020;Australia;0;0
19;2;2020;Australia;0;0
18;2;2020;Australia;0;0
17;2;2020;Australia;0;0
16;2;2020;Australia;0;0
15;2;2020;Australia;0;0
14;2;2020;Australia;1;0
13;2;2020;Australia;0;0
12;2;2020;Australia;0;0
11;2;2020;Australia;0;0
10;2;2020;Australia;0;0
9;2;2020;Australia;0;0
8;2;2020;Australia;0;0
7;2;2020;Australia;1;0
6;2;2020;Australia;1;0
5;2;2020;Australia;1;0
4;2;2020;Australia;0;0
3;2;2020;Australia;0;0
2;2;2020;Australia;2;0
1;2;2020;Australia;2;0
31;1;2020;Australia;1;0
30;1;2020;Australia;2;0
29;1;2020;Australia;0;0
28;1;2020;Australia;0;0
27;1;2020;Australia;0;0
26;1;2020;Australia;3;0
25;1;2020;Australia;1;0
24;1;2020;Australia;0;0
23;1;2020;Australia;0;0
22;1;2020;Australia;0;0
21;1;2020;Australia;0;0
20;1;2020;Australia;0;0
19;1;2020;Australia;0;0
18;1;2020;Australia;0;0
17;1;2020;Australia;0;0
16;1;2020;Australia;0;0
15;1;2020;Australia;0;0
14;1;2020;Australia;0;0
13;1;2020;Australia;0;0
12;1;2020;Australia;0;0
11;1;2020;Australia;0;0
10;1;2020;Australia;0;0
9;1;2020;Australia;0;0
8;1;2020;Australia;0;0
7;1;2020;Australia;0;0
6;1;2020;Australia;0;0
5;1;2020;Australia;0;0
4;1;2020;Australia;0;0
3;1;2020;Australia;0;0
2;1;2020;Australia;0;0
1;1;2020;Australia;0;0
31;12;2019;Australia;0;0
9;4;2020;Austria;329;30
8;4;2020;Austria;343;23
7;4;2020;Austria;314;16
6;4;2020;Austria;217;18
5;4;2020;Austria;241;18
4;4;2020;Austria;396;10
3;4;2020;Austria;418;12
2;4;2020;Austria;529;18
1;4;2020;Austria;564;20
31;3;2020;Austria;805;22
30;3;2020;Austria;522;18
29;3;2020;Austria;594;0
28;3;2020;Austria;668;16
27;3;2020;Austria;1141;18
26;3;2020;Austria;606;4
25;3;2020;Austria;796;5
24;3;2020;Austria;855;9
23;3;2020;Austria;607;8
22;3;2020;Austria;375;2
21;3;2020;Austria;453;0
20;3;2020;Austria;550;2
19;3;2020;Austria;314;1
18;3;2020;Austria;316;0
17;3;2020;Austria;156;2
16;3;2020;Austria;205;0
15;3;2020;Austria;151;0
14;3;2020;Austria;143;0
13;3;2020;Austria;115;1
12;3;2020;Austria;64;0
11;3;2020;Austria;51;0
10;3;2020;Austria;29;0
9;3;2020;Austria;3;0
8;3;2020;Austria;25;0
7;3;2020;Austria;33;0
6;3;2020;Austria;12;0
5;3;2020;Austria;5;0
4;3;2020;Austria;6;0
3;3;2020;Austria;4;0
2;3;2020;Austria;4;0
1;3;2020;Austria;3;0
29;2;2020;Austria;2;0
28;2;2020;Austria;3;0
27;2;2020;Austria;0;0
26;2;2020;Austria;2;0
25;2;2020;Austria;0;0
24;2;2020;Austria;0;0
23;2;2020;Austria;0;0
22;2;2020;Austria;0;0
21;2;2020;Austria;0;0
20;2;2020;Austria;0;0
19;2;2020;Austria;0;0
18;2;2020;Austria;0;0
17;2;2020;Austria;0;0
16;2;2020;Austria;0;0
15;2;2020;Austria;0;0
14;2;2020;Austria;0;0
13;2;2020;Austria;0;0
12;2;2020;Austria;0;0
11;2;2020;Austria;0;0
10;2;2020;Austria;0;0
9;2;2020;Austria;0;0
8;2;2020;Austria;0;0
7;2;2020;Austria;0;0
6;2;2020;Austria;0;0
5;2;2020;Austria;0;0
4;2;2020;Austria;0;0
3;2;2020;Austria;0;0
2;2;2020;Austria;0;0
1;2;2020;Austria;0;0
31;1;2020;Austria;0;0
30;1;2020;Austria;0;0
29;1;2020;Austria;0;0
28;1;2020;Austria;0;0
27;1;2020;Austria;0;0
26;1;2020;Austria;0;0
25;1;2020;Austria;0;0
24;1;2020;Austria;0;0
23;1;2020;Austria;0;0
22;1;2020;Austria;0;0
21;1;2020;Austria;0;0
20;1;2020;Austria;0;0
19;1;2020;Austria;0;0
18;1;2020;Austria;0;0
17;1;2020;Austria;0;0
16;1;2020;Austria;0;0
15;1;2020;Austria;0;0
14;1;2020;Austria;0;0
13;1;2020;Austria;0;0
12;1;2020;Austria;0;0
11;1;2020;Austria;0;0
10;1;2020;Austria;0;0
9;1;2020;Austria;0;0
8;1;2020;Austria;0;0
7;1;2020;Austria;0;0
6;1;2020;Austria;0;0
5;1;2020;Austria;0;0
4;1;2020;Austria;0;0
3;1;2020;Austria;0;0
2;1;2020;Austria;0;0
1;1;2020;Austria;0;0
31;12;2019;Austria;0;0
9;4;2020;Azerbaijan;105;0
8;4;2020;Azerbaijan;76;1
7;4;2020;Azerbaijan;57;0
6;4;2020;Azerbaijan;63;2
5;4;2020;Azerbaijan;78;0
4;4;2020;Azerbaijan;43;0
3;4;2020;Azerbaijan;41;0
2;4;2020;Azerbaijan;61;0
1;4;2020;Azerbaijan;25;1
31;3;2020;Azerbaijan;64;0
30;3;2020;Azerbaijan;27;0
29;3;2020;Azerbaijan;17;1
28;3;2020;Azerbaijan;43;0
27;3;2020;Azerbaijan;29;1
26;3;2020;Azerbaijan;6;1
25;3;2020;Azerbaijan;15;0
24;3;2020;Azerbaijan;7;0
23;3;2020;Azerbaijan;12;0
22;3;2020;Azerbaijan;9;0
21;3;2020;Azerbaijan;0;1
20;3;2020;Azerbaijan;10;0
19;3;2020;Azerbaijan;6;0
18;3;2020;Azerbaijan;9;0
17;3;2020;Azerbaijan;0;0
16;3;2020;Azerbaijan;0;0
15;3;2020;Azerbaijan;6;0
13;3;2020;Azerbaijan;0;0
12;3;2020;Azerbaijan;2;0
11;3;2020;Azerbaijan;2;0
7;3;2020;Azerbaijan;3;0
6;3;2020;Azerbaijan;3;0
2;3;2020;Azerbaijan;2;0
1;3;2020;Azerbaijan;0;0
29;2;2020;Azerbaijan;1;0
28;2;2020;Azerbaijan;0;0
27;2;2020;Azerbaijan;0;0
26;2;2020;Azerbaijan;0;0
25;2;2020;Azerbaijan;0;0
24;2;2020;Azerbaijan;0;0
23;2;2020;Azerbaijan;0;0
22;2;2020;Azerbaijan;0;0
21;2;2020;Azerbaijan;0;0
20;2;2020;Azerbaijan;0;0
19;2;2020;Azerbaijan;0;0
18;2;2020;Azerbaijan;0;0
17;2;2020;Azerbaijan;0;0
16;2;2020;Azerbaijan;0;0
15;2;2020;Azerbaijan;0;0
14;2;2020;Azerbaijan;0;0
13;2;2020;Azerbaijan;0;0
12;2;2020;Azerbaijan;0;0
11;2;2020;Azerbaijan;0;0
10;2;2020;Azerbaijan;0;0
9;2;2020;Azerbaijan;0;0
8;2;2020;Azerbaijan;0;0
7;2;2020;Azerbaijan;0;0
6;2;2020;Azerbaijan;0;0
5;2;2020;Azerbaijan;0;0
4;2;2020;Azerbaijan;0;0
3;2;2020;Azerbaijan;0;0
2;2;2020;Azerbaijan;0;0
1;2;2020;Azerbaijan;0;0
31;1;2020;Azerbaijan;0;0
30;1;2020;Azerbaijan;0;0
29;1;2020;Azerbaijan;0;0
28;1;2020;Azerbaijan;0;0
27;1;2020;Azerbaijan;0;0
26;1;2020;Azerbaijan;0;0
25;1;2020;Azerbaijan;0;0
24;1;2020;Azerbaijan;0;0
23;1;2020;Azerbaijan;0;0
22;1;2020;Azerbaijan;0;0
21;1;2020;Azerbaijan;0;0
20;1;2020;Azerbaijan;0;0
19;1;2020;Azerbaijan;0;0
18;1;2020;Azerbaijan;0;0
17;1;2020;Azerbaijan;0;0
16;1;2020;Azerbaijan;0;0
15;1;2020;Azerbaijan;0;0
14;1;2020;Azerbaijan;0;0
13;1;2020;Azerbaijan;0;0
12;1;2020;Azerbaijan;0;0
11;1;2020;Azerbaijan;0;0
10;1;2020;Azerbaijan;0;0
9;1;2020;Azerbaijan;0;0
8;1;2020;Azerbaijan;0;0
7;1;2020;Azerbaijan;0;0
6;1;2020;Azerbaijan;0;0
5;1;2020;Azerbaijan;0;0
4;1;2020;Azerbaijan;0;0
3;1;2020;Azerbaijan;0;0
2;1;2020;Azerbaijan;0;0
1;1;2020;Azerbaijan;0;0
31;12;2019;Azerbaijan;0;0
9;4;2020;Bahamas;4;1
8;4;2020;Bahamas;3;1
7;4;2020;Bahamas;4;0
6;4;2020;Bahamas;1;1
5;4;2020;Bahamas;4;1
4;4;2020;Bahamas;0;2
3;4;2020;Bahamas;3;0
2;4;2020;Bahamas;6;1
1;4;2020;Bahamas;1;0
31;3;2020;Bahamas;0;0
30;3;2020;Bahamas;3;0
29;3;2020;Bahamas;2;0
28;3;2020;Bahamas;0;0
27;3;2020;Bahamas;4;0
26;3;2020;Bahamas;1;0
25;3;2020;Bahamas;0;0
24;3;2020;Bahamas;0;0
23;3;2020;Bahamas;0;0
22;3;2020;Bahamas;0;0
21;3;2020;Bahamas;1;0
20;3;2020;Bahamas;2;0
17;3;2020;Bahamas;0;0
16;3;2020;Bahamas;1;0
9;4;2020;Bahrain;12;0
8;4;2020;Bahrain;55;1
7;4;2020;Bahrain;56;0
6;4;2020;Bahrain;12;0
5;4;2020;Bahrain;45;0
4;4;2020;Bahrain;0;0
3;4;2020;Bahrain;74;0
2;4;2020;Bahrain;2;0
1;4;2020;Bahrain;52;0
31;3;2020;Bahrain;15;0
30;3;2020;Bahrain;27;0
29;3;2020;Bahrain;7;0
28;3;2020;Bahrain;8;0
27;3;2020;Bahrain;39;1
26;3;2020;Bahrain;29;0
25;3;2020;Bahrain;51;1
24;3;2020;Bahrain;5;0
23;3;2020;Bahrain;28;1
22;3;2020;Bahrain;21;0
21;3;2020;Bahrain;16;0
20;3;2020;Bahrain;13;0
19;3;2020;Bahrain;19;0
18;3;2020;Bahrain;16;0
17;3;2020;Bahrain;7;1
16;3;2020;Bahrain;3;0
15;3;2020;Bahrain;1;0
14;3;2020;Bahrain;48;0
13;3;2020;Bahrain;0;0
12;3;2020;Bahrain;52;0
11;3;2020;Bahrain;1;0
10;3;2020;Bahrain;30;0
9;3;2020;Bahrain;16;0
8;3;2020;Bahrain;7;0
7;3;2020;Bahrain;4;0
6;3;2020;Bahrain;0;0
5;3;2020;Bahrain;3;0
4;3;2020;Bahrain;2;0
2;3;2020;Bahrain;6;0
1;3;2020;Bahrain;3;0
29;2;2020;Bahrain;5;0
28;2;2020;Bahrain;0;0
27;2;2020;Bahrain;10;0
26;2;2020;Bahrain;21;0
25;2;2020;Bahrain;1;0
24;2;2020;Bahrain;1;0
23;2;2020;Bahrain;0;0
22;2;2020;Bahrain;0;0
21;2;2020;Bahrain;0;0
20;2;2020;Bahrain;0;0
19;2;2020;Bahrain;0;0
18;2;2020;Bahrain;0;0
17;2;2020;Bahrain;0;0
16;2;2020;Bahrain;0;0
15;2;2020;Bahrain;0;0
14;2;2020;Bahrain;0;0
13;2;2020;Bahrain;0;0
12;2;2020;Bahrain;0;0
11;2;2020;Bahrain;0;0
10;2;2020;Bahrain;0;0
9;2;2020;Bahrain;0;0
8;2;2020;Bahrain;0;0
7;2;2020;Bahrain;0;0
6;2;2020;Bahrain;0;0
5;2;2020;Bahrain;0;0
4;2;2020;Bahrain;0;0
3;2;2020;Bahrain;0;0
2;2;2020;Bahrain;0;0
1;2;2020;Bahrain;0;0
31;1;2020;Bahrain;0;0
30;1;2020;Bahrain;0;0
29;1;2020;Bahrain;0;0
28;1;2020;Bahrain;0;0
27;1;2020;Bahrain;0;0
26;1;2020;Bahrain;0;0
25;1;2020;Bahrain;0;0
24;1;2020;Bahrain;0;0
23;1;2020;Bahrain;0;0
22;1;2020;Bahrain;0;0
21;1;2020;Bahrain;0;0
